Order_YearMonth,Orders,Total_Sales,Total_Profit,Total_Cost,Total_Qty,Customers,Profit_Margin_Pct,AOV
2022-01,1531,63331385.5,29757395.5,33573990.0,4920,1322,46.99,41366.03
2022-02,1315,58623934.0,27412234.0,31211700.0,4288,1135,46.76,44580.94
2022-03,950,41205339.5,19357967.5,21847372.0,3058,882,46.98,43374.04
2022-04,933,38712806.5,18250314.5,20462492.0,3023,855,47.14,41492.83
2022-05,981,43977789.5,20437434.5,23540355.0,3243,884,46.47,44829.55
2022-06,946,38875643.0,18138359.0,20737284.0,2945,854,46.66,41094.76
2022-07,957,39216299.5,18143223.5,21073076.0,2994,874,46.26,40978.37
2022-08,964,41496908.5,19310342.5,22186566.0,3215,874,46.53,43046.59
2022-09,892,32109306.0,14682312.0,17426994.0,2822,812,45.73,35996.98
2022-10,1868,76763378.0,35570467.0,41192911.0,6175,1543,46.34,41093.89
2022-11,1882,73300362.0,34004047.0,39296315.0,6000,1559,46.39,38948.12
2022-12,1932,80888092.0,37534612.0,43353480.0,6424,1574,46.4,41867.54
2023-01,1534,62078151.0,28545428.0,33532723.0,4926,1312,45.98,40468.16
2023-02,1351,54973181.5,25494465.5,29478716.0,4367,1175,46.38,40690.73
2023-03,962,38906750.0,17967849.0,20938901.0,3135,879,46.18,40443.61
2023-04,955,39766100.0,18518907.0,21247193.0,3095,866,46.57,41639.9
2023-05,955,40141568.5,19036932.5,21104636.0,3005,870,47.42,42033.06
2023-06,935,40780300.0,19006764.0,21773536.0,2969,867,46.61,43615.29
2023-07,944,37106779.5,17105040.5,20001739.0,2958,855,46.1,39308.03
2023-08,984,42067003.0,19636994.0,22430009.0,3128,902,46.68,42751.02
2023-09,980,40355198.0,18647753.0,21707445.0,3171,880,46.21,41178.77
2023-10,1828,70703212.5,32887916.5,37815296.0,5832,1524,46.52,38677.91
2023-11,1811,70872778.0,32619931.0,38252847.0,5888,1525,46.03,39134.61
2023-12,1885,74341420.0,34546842.0,39794578.0,6102,1567,46.47,39438.42
2024-01,1497,61034209.0,28358728.0,32675481.0,4821,1297,46.46,40771.01
2024-02,1457,61227131.5,28575952.5,32651179.0,4777,1250,46.67,42022.74
2024-03,924,34706893.5,15828526.5,18878367.0,2872,832,45.61,37561.57
2024-04,930,37236229.0,17134047.0,20102182.0,2878,843,46.01,40038.96
2024-05,988,38723012.5,17872896.5,20850116.0,3178,911,46.16,39193.33
2024-06,945,38495616.0,17754326.0,20741290.0,3018,863,46.12,40736.1
2024-07,925,39711743.5,18542796.5,21168947.0,2862,839,46.69,42931.61
2024-08,984,41380748.0,18979323.0,22401425.0,3236,881,45.87,42053.61
2024-09,917,37814883.5,17568024.5,20246859.0,2903,842,46.46,41237.6
2024-10,1959,78722444.5,36331673.5,42390771.0,6273,1620,46.15,40185.02
2024-11,1791,76006086.5,34990496.5,41015590.0,5897,1495,46.04,42437.79
2024-12,1895,75358807.0,34958498.0,40400309.0,6208,1571,46.39,39767.18
